dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
2B;64;2021-07-08;8860;8319;11790.0;75.1;70.6
2B;69;2021-07-08;9078;8699;12032.0;75.4;72.3
2B;74;2021-07-08;8939;8647;10849.0;82.4;79.7
2B;79;2021-07-08;6319;6120;8172.0;77.3;74.9
2B;80;2021-07-08;9471;9021;12552.0;75.5;71.9
30;04;2021-07-08;17;5;37678.0;0.0;0.0
30;09;2021-07-08;7;4;42949.0;0.0;0.0
30;11;2021-07-08;32;0;18277.0;0.2;0.0
30;17;2021-07-08;7866;1006;54361.0;14.5;1.9
30;24;2021-07-08;19879;8704;52820.0;37.6;16.5
30;29;2021-07-08;11625;5856;34641.0;33.6;16.9
30;39;2021-07-08;31675;17575;84369.0;37.5;20.8
30;49;2021-07-08;47038;28717;91908.0;51.2;31.2
30;59;2021-07-08;66995;50908;103521.0;64.7;49.2
30;64;2021-07-08;37924;32478;50969.0;74.4;63.7
30;69;2021-07-08;39804;35183;50457.0;78.9;69.7
30;74;2021-07-08;42656;39228;45688.0;93.4;85.9
30;79;2021-07-08;28582;26624;30153.0;94.8;88.3
30;80;2021-07-08;41604;38052;50677.0;82.1;75.1
31;04;2021-07-08;26;8;78558.0;0.0;0.0
31;09;2021-07-08;21;1;84158.0;0.0;0.0
31;11;2021-07-08;26;4;33314.0;0.1;0.0
31;17;2021-07-08;19226;1870;99355.0;19.4;1.9
31;24;2021-07-08;56585;23909;147618.0;38.3;16.2
31;29;2021-07-08;41103;18427;96416.0;42.6;19.1
31;39;2021-07-08;86757;42265;194920.0;44.5;21.7
31;49;2021-07-08;103157;59248;184340.0;56.0;32.1
31;59;2021-07-08;120268;94674;174175.0;69.1;54.4
31;64;2021-07-08;56802;50179;72167.0;78.7;69.5
31;69;2021-07-08;51864;46804;65865.0;78.7;71.1
31;74;2021-07-08;51441;48036;59889.0;85.9;80.2
31;79;2021-07-08;34901;33203;39232.0;89.0;84.6
31;80;2021-07-08;57223;53721;70928.0;80.7;75.7
32;04;2021-07-08;7;2;7650.0;0.1;0.0
32;09;2021-07-08;6;0;9623.0;0.1;0.0
32;11;2021-07-08;7;2;4295.0;0.2;0.0
32;17;2021-07-08;2491;240;12530.0;19.9;1.9
32;24;2021-07-08;7055;3579;10079.0;70.0;35.5
32;29;2021-07-08;4299;2446;7305.0;58.9;33.5
32;39;2021-07-08;11135;6677;18813.0;59.2;35.5
32;49;2021-07-08;16220;11092;23258.0;69.7;47.7
32;59;2021-07-08;19849;15986;27973.0;71.0;57.1
32;64;2021-07-08;11173;9937;14418.0;77.5;68.9
