dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
07;09;2021-10-28;6;2;0;18154.0;0.0;0.0;0.0
07;64;2021-10-28;20569;20337;537;23577.0;87.2;86.3;2.3
07;69;2021-10-28;20839;20733;1129;23453.0;88.9;88.4;4.8
07;74;2021-10-28;20602;20522;2000;21460.0;96.0;95.6;9.3
07;79;2021-10-28;13240;13043;3805;13721.0;96.5;95.1;27.7
07;80;2021-10-28;21372;20858;6829;24817.0;86.1;84.0;27.5
08;04;2021-10-28;10;5;0;13099.0;0.1;0.0;0.0
08;11;2021-10-28;63;54;0;6551.0;1.0;0.8;0.0
08;17;2021-10-28;17220;16418;6;19588.0;87.9;83.8;0.0
08;24;2021-10-28;18128;17519;22;18037.0;99.0;97.1;0.1
08;29;2021-10-28;11040;10675;29;13085.0;84.4;81.6;0.2
08;39;2021-10-28;25913;25248;153;30561.0;84.8;82.6;0.5
08;49;2021-10-28;29128;28594;224;32888.0;88.6;86.9;0.7
08;59;2021-10-28;34505;34060;848;37571.0;91.8;90.7;2.3
08;09;2021-10-28;4;0;0;15286.0;0.0;0.0;0.0
08;64;2021-10-28;17202;16977;646;18636.0;92.3;91.1;3.5
08;69;2021-10-28;16543;16321;1210;17922.0;92.3;91.1;6.8
08;74;2021-10-28;15419;15249;1911;15463.0;99.0;98.6;12.4
08;79;2021-10-28;8507;8399;2971;8669.0;98.1;96.9;34.3
08;80;2021-10-28;15197;14858;5747;18175.0;83.6;81.7;31.6
09;04;2021-10-28;8;4;0;6587.0;0.1;0.1;0.0
09;11;2021-10-28;57;48;0;3388.0;1.7;1.4;0.0
09;17;2021-10-28;8541;7933;3;10191.0;83.8;77.8;0.0
09;24;2021-10-28;10032;9516;7;9110.0;99.0;99.0;0.1
09;29;2021-10-28;6087;5790;17;6679.0;91.1;86.7;0.3
09;39;2021-10-28;14844;14301;70;15798.0;94.0;90.5;0.4
09;49;2021-10-28;18862;18280;136;18797.0;99.0;97.2;0.7
09;59;2021-10-28;20509;20311;422;21635.0;94.8;93.9;2.0
09;09;2021-10-28;4;0;0;7745.0;0.1;0.0;0.0
09;64;2021-10-28;10486;10408;302;11336.0;92.5;91.8;2.7
09;69;2021-10-28;10924;10864;604;11303.0;96.6;96.1;5.3
09;74;2021-10-28;10798;10742;1044;10028.0;99.0;99.0;10.4
09;79;2021-10-28;7025;6943;1888;6375.0;99.0;99.0;29.6
09;80;2021-10-28;11704;11465;3510;13426.0;87.2;85.4;26.1
10;04;2021-10-28;8;3;0;16179.0;0.0;0.0;0.0
10;11;2021-10-28;52;43;0;8186.0;0.6;0.5;0.0
10;17;2021-10-28;18086;17301;5;23738.0;76.2;72.9;0.0
10;24;2021-10-28;22382;21511;25;24096.0;92.9;89.3;0.1
10;29;2021-10-28;13425;13003;24;16549.0;81.1;78.6;0.1
10;39;2021-10-28;29022;28309;82;36584.0;79.3;77.4;0.2
10;49;2021-10-28;33049;32443;170;38394.0;86.1;84.5;0.4
10;59;2021-10-28;36636;36286;616;39551.0;92.6;91.7;1.6
10;09;2021-10-28;4;2;0;18930.0;0.0;0.0;0.0
10;64;2021-10-28;18064;17833;570;19401.0;93.1;91.9;2.9
10;69;2021-10-28;17878;17738;1142;19343.0;92.4;91.7;5.9
10;74;2021-10-28;17997;17897;1974;17592.0;99.0;99.0;11.2
10;79;2021-10-28;10814;10676;3530;10554.0;99.0;99.0;33.4
10;80;2021-10-28;18553;18123;6437;20810.0;89.2;87.1;30.9
11;04;2021-10-28;23;16;0;16558.0;0.1;0.1;0.0
11;11;2021-10-28;67;53;0;8794.0;0.8;0.6;0.0
11;17;2021-10-28;19225;18321;7;25657.0;74.9;71.4;0.0
11;24;2021-10-28;20852;20465;30;22902.0;91.0;89.4;0.1
11;29;2021-10-28;12249;11894;32;15409.0;79.5;77.2;0.2
